,pid,module,trial,total_fixation,face11_fixation,face12_fixation,face21_fixation,face22_fixation,total_fixation_under1000,face11_fixation_under1000,face12_fixation_under1000,face21_fixation_under1000,face22_fixation_under1000,abs_dwell_time_face11,abs_dwell_time_face12,abs_dwell_time_face21,abs_dwell_time_face22
0,00000001,faces,0,0,0,0,0,0,0,0,0,0,0,128.77777777777777,128.77777777777777,85.85185185185185,85.85185185185185
1,00000001,faces,1,0,0,0,0,0,0,0,0,0,0,39.04237288135593,273.29661016949154,234.2542372881356,156.16949152542372
2,00000001,faces,2,0,0,0,0,0,0,0,0,0,0,110.54761904761904,257.94444444444446,331.6428571428571,110.54761904761904
3,00000001,faces,3,0,0,0,0,0,0,0,0,0,0,77.83193277310924,116.74789915966387,233.49579831932775,155.6638655462185
4,00000001,faces,4,0,0,0,0,0,0,0,0,0,0,119.43103448275862,318.48275862068965,0.0,119.43103448275862
5,00000001,faces,5,0,0,0,0,0,0,0,0,0,0,128.09174311926606,170.78899082568807,170.78899082568807,170.78899082568807
6,00000001,faces,6,0,0,0,0,0,0,0,0,0,0,123.88392857142857,123.88392857142857,41.294642857142854,123.88392857142857
7,00000001,faces,7,0,0,0,0,0,0,0,0,0,0,165.32142857142856,165.32142857142856,41.33035714285714,82.66071428571428
8,00000001,faces,8,0,0,0,0,0,0,0,0,0,0,134.97087378640776,224.95145631067962,224.95145631067962,179.96116504854368
9,00000001,faces,9,0,0,0,0,0,0,0,0,0,0,227.1219512195122,189.2682926829268,113.5609756097561,302.82926829268297
10,00000001,faces,10,1,0,0,0,0,0,0,0,0,0,171.7037037037037,214.62962962962962,343.4074074074074,85.85185185185185
11,00000001,faces,11,0,0,0,0,0,0,0,0,0,0,195.21186440677965,156.16949152542372,156.16949152542372,156.16949152542372
12,00000001,faces,12,0,0,0,0,0,0,0,0,0,0,110.54761904761904,147.3968253968254,36.84920634920635,147.3968253968254
13,00000001,faces,13,1,0,0,1,0,0,0,0,0,0,194.57983193277312,116.74789915966387,311.327731092437,194.57983193277312
14,00000001,faces,14,0,0,0,0,0,0,0,0,0,0,119.43103448275862,119.43103448275862,79.62068965517241,79.62068965517241
15,00000001,faces,15,0,0,0,0,0,0,0,0,0,0,256.1834862385321,42.69724770642202,170.78899082568807,85.39449541284404
16,00000001,faces,16,1,0,0,0,0,1,0,0,0,0,123.88392857142857,123.88392857142857,206.47321428571428,123.88392857142857
17,00000001,faces,17,0,0,0,0,0,0,0,0,0,0,41.33035714285714,206.65178571428572,206.65178571428572,41.33035714285714
18,00000001,faces,18,0,0,0,0,0,0,0,0,0,0,224.95145631067962,224.95145631067962,134.97087378640776,44.99029126213592
19,00000001,faces,19,0,0,0,0,0,0,0,0,0,0,264.9756097560975,227.1219512195122,75.70731707317074,75.70731707317074
20,00000001,faces,20,0,0,0,0,0,0,0,0,0,0,257.55555555555554,214.62962962962962,85.85185185185185,85.85185185185185
21,00000001,faces,21,2,0,0,0,0,1,0,0,0,0,78.08474576271186,39.04237288135593,78.08474576271186,156.16949152542372
22,00000001,faces,22,0,0,0,0,0,0,0,0,0,0,221.09523809523807,184.24603174603175,184.24603174603175,73.6984126984127
23,00000001,faces,23,1,0,0,1,0,0,0,0,0,0,77.83193277310924,77.83193277310924,77.83193277310924,272.4117647058824
24,00000001,faces,24,0,0,0,0,0,0,0,0,0,0,119.43103448275862,159.24137931034483,159.24137931034483,199.05172413793105
25,00000001,faces,25,0,0,0,0,0,0,0,0,0,0,42.69724770642202,213.4862385321101,85.39449541284404,85.39449541284404
26,00000001,faces,26,0,0,0,0,0,0,0,0,0,0,247.76785714285714,82.58928571428571,123.88392857142857,247.76785714285714
27,00000001,faces,27,0,0,0,0,0,0,0,0,0,0,82.66071428571428,82.66071428571428,82.66071428571428,82.66071428571428
28,00000001,faces,28,0,0,0,0,0,0,0,0,0,0,179.96116504854368,134.97087378640776,134.97087378640776,44.99029126213592
29,00000001,faces,29,1,0,0,0,0,0,0,0,0,0,302.82926829268297,75.70731707317074,151.41463414634148,264.9756097560975
30,00000001,faces,30,0,0,0,0,0,0,0,0,0,0,128.77777777777777,214.62962962962962,42.925925925925924,214.62962962962962
31,00000001,faces,31,0,0,0,0,0,0,0,0,0,0,117.1271186440678,234.2542372881356,78.08474576271186,273.29661016949154
32,00000001,faces,32,0,0,0,0,0,0,0,0,0,0,221.09523809523807,221.09523809523807,147.3968253968254,184.24603174603175
33,00000001,faces,33,0,0,0,0,0,0,0,0,0,0,233.49579831932775,0.0,272.4117647058824,77.83193277310924
34,00000001,faces,34,0,0,0,0,0,0,0,0,0,0,119.43103448275862,79.62068965517241,119.43103448275862,79.62068965517241
35,00000001,faces,35,0,0,0,0,0,0,0,0,0,0,42.69724770642202,170.78899082568807,213.4862385321101,213.4862385321101
36,00000001,faces,36,0,0,0,0,0,0,0,0,0,0,123.88392857142857,82.58928571428571,165.17857142857142,123.88392857142857
37,00000001,faces,37,1,0,0,0,0,1,0,0,0,0,41.33035714285714,41.33035714285714,0.0,206.65178571428572
38,00000001,faces,38,0,0,0,0,0,0,0,0,0,0,134.97087378640776,224.95145631067962,179.96116504854368,134.97087378640776
39,00000001,faces,39,0,0,0,0,0,0,0,0,0,0,151.41463414634148,151.41463414634148,113.5609756097561,113.5609756097561
40,00000001,faces,40,0,0,0,0,0,0,0,0,0,0,171.7037037037037,214.62962962962962,343.4074074074074,42.925925925925924
41,00000001,faces,41,1,1,0,0,0,0,0,0,0,0,156.16949152542372,156.16949152542372,273.29661016949154,312.33898305084745
42,00000001,faces,42,0,0,0,0,0,0,0,0,0,0,36.84920634920635,110.54761904761904,73.6984126984127,110.54761904761904
43,00000001,faces,43,1,0,1,0,0,0,0,0,0,0,194.57983193277312,77.83193277310924,194.57983193277312,38.91596638655462
44,00000001,faces,44,0,0,0,0,0,0,0,0,0,0,159.24137931034483,238.86206896551724,199.05172413793105,159.24137931034483
45,00000001,faces,45,0,0,0,0,0,0,0,0,0,0,85.39449541284404,85.39449541284404,85.39449541284404,170.78899082568807
46,00000001,faces,46,0,0,0,0,0,0,0,0,0,0,82.58928571428571,371.6517857142857,165.17857142857142,123.88392857142857
47,00000001,faces,47,0,0,0,0,0,0,0,0,0,0,0.0,165.32142857142856,82.66071428571428,123.99107142857142
48,00000001,faces,48,0,0,0,0,0,0,0,0,0,0,0.0,224.95145631067962,89.98058252427184,134.97087378640776
